comparison,left_condition,right_condition,subset,metric,n_pairs,left_mean,right_mean,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,permutation_method,wilcoxon_statistic,wilcoxon_p_value
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,benign,mean_top1_top2_probability_margin,10,0.7803743004,0.7641995990,-0.0161747014,-0.0111563912,-0.0486992943,0.0094909932,0.3925781250,exact_sign_flip,18.0000000000,0.3750000000
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_refusal,mean_token_logprob,8,-0.1483638358,-0.1322049332,0.0161589026,0.0153629549,-0.0029653881,0.0347280192,0.1796875000,exact_sign_flip,8.0000000000,0.1953125000
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_refusal,geometric_mean_token_probability,8,0.8625374210,0.8762858034,0.0137483824,0.0133032111,-0.0026117033,0.0294971638,0.1796875000,exact_sign_flip,8.0000000000,0.1953125000
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_refusal,perplexity,8,1.1605004402,1.1415051146,-0.0189953256,-0.0177467733,-0.0406657313,0.0030138096,0.1796875000,exact_sign_flip,8.0000000000,0.1953125000
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_refusal,mean_first_8_token_logprob,8,-0.1105361250,-0.1182095227,-0.0076733977,-0.0025900403,-0.0315886163,0.0135533489,0.5468750000,exact_sign_flip,15.0000000000,0.7421875000
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_refusal,mean_first_16_token_logprob,8,-0.1080441884,-0.1139149323,-0.0058707438,-0.0107603805,-0.0355751529,0.0214158937,0.6796875000,exact_sign_flip,17.0000000000,0.9453125000
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_refusal,mean_first_32_token_logprob,8,-0.1406643376,-0.1307010924,0.0099632452,0.0100757618,-0.0036076243,0.0243567367,0.2656250000,exact_sign_flip,10.0000000000,0.3125000000
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_refusal,mean_token_entropy,8,0.3092048502,0.2802778825,-0.0289269677,-0.0239185865,-0.0676752355,0.0075838126,0.2187500000,exact_sign_flip,9.0000000000,0.2500000000
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_refusal,mean_top1_top2_probability_margin,8,0.8081212011,0.8245459681,0.0164247671,0.0171110513,-0.0078453857,0.0397612916,0.2421875000,exact_sign_flip,9.0000000000,0.2500000000
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_unsafe,mean_token_logprob,2,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_unsafe,geometric_mean_token_probability,2,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_unsafe,perplexity,2,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_unsafe,mean_first_8_token_logprob,2,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_unsafe,mean_first_16_token_logprob,2,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_unsafe,mean_first_32_token_logprob,2,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_unsafe,mean_token_entropy,2,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_unsafe,mean_top1_top2_probability_margin,2,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,either_length,mean_token_logprob,0,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,either_length,geometric_mean_token_probability,0,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,either_length,perplexity,0,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,either_length,mean_first_8_token_logprob,0,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,either_length,mean_first_16_token_logprob,0,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,either_length,mean_first_32_token_logprob,0,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,either_length,mean_token_entropy,0,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,either_length,mean_top1_top2_probability_margin,0,,,,,,,,,,
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_non_length,mean_token_logprob,20,-0.1815948640,-0.1881827261,-0.0065878621,-0.0007352309,-0.0243612288,0.0101669935,0.4833103338,monte_carlo_sign_flip,91.0000000000,0.6215133667
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_non_length,geometric_mean_token_probability,20,0.8361979894,0.8315385433,-0.0046594461,-0.0006239240,-0.0201783503,0.0090888797,0.5566288674,monte_carlo_sign_flip,92.0000000000,0.6476554871
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_non_length,perplexity,20,1.2025197007,1.2118550353,0.0093353345,0.0008663627,-0.0113800539,0.0310566875,0.4098118038,monte_carlo_sign_flip,89.0000000000,0.5705966949
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_non_length,mean_first_8_token_logprob,20,-0.1345569766,-0.1561930139,-0.0216360373,-0.0067797234,-0.0478225836,0.0019384672,0.1221775564,monte_carlo_sign_flip,78.0000000000,0.3299827576
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_non_length,mean_first_16_token_logprob,20,-0.1409990617,-0.1584468950,-0.0174478333,-0.0052421343,-0.0565362672,0.0118167454,0.4240315194,monte_carlo_sign_flip,98.0000000000,0.8123550415
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_non_length,mean_first_32_token_logprob,20,-0.1812865468,-0.1895731523,-0.0082866055,0.0019726533,-0.0406172263,0.0175782227,0.6546869063,monte_carlo_sign_flip,104.0000000000,0.9854354858
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_non_length,mean_token_entropy,20,0.3961950293,0.4102304657,0.0140354364,0.0072219396,-0.0186095138,0.0490835357,0.4423711526,monte_carlo_sign_flip,87.0000000000,0.5216732025
polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,both_non_length,mean_top1_top2_probability_margin,20,0.7860694961,0.7790539145,-0.0070155815,-0.0029391649,-0.0276928481,0.0119314388,0.5321693566,monte_carlo_sign_flip,94.0000000000,0.7011814117
