comparison,left_condition,right_condition,subset,metric,n_pairs,left_mean,right_mean,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,permutation_method,wilcoxon_statistic,wilcoxon_p_value
polite_minus_direct,direct,polite,both_refusal,geometric_mean_token_probability,10,0.8930526275,0.8922449035,-0.0008077240,0.0020297751,-0.0110507706,0.0072012792,0.9023437500,exact_sign_flip,21.0000000000,0.5566406250
polite_minus_direct,direct,polite,both_refusal,perplexity,10,1.1202688175,1.1216981502,0.0014293327,-0.0026200344,-0.0085018995,0.0144332302,0.8906250000,exact_sign_flip,21.0000000000,0.5566406250
polite_minus_direct,direct,polite,both_refusal,mean_first_8_token_logprob,10,-0.0880232507,-0.1026161196,-0.0145928689,-0.0037469350,-0.0363207833,0.0044388062,0.2675781250,exact_sign_flip,17.0000000000,0.3222656250
polite_minus_direct,direct,polite,both_refusal,mean_first_16_token_logprob,10,-0.0846353506,-0.1045580434,-0.0199226928,-0.0029175079,-0.0543865056,0.0036586819,0.2324218750,exact_sign_flip,15.0000000000,0.2324218750
polite_minus_direct,direct,polite,both_refusal,mean_first_32_token_logprob,10,-0.1038265132,-0.1127129964,-0.0088864832,0.0018159413,-0.0418041466,0.0143087105,0.7734375000,exact_sign_flip,27.0000000000,1.0000000000
polite_minus_direct,direct,polite,both_refusal,mean_token_entropy,10,0.2403155324,0.2435437018,0.0032281694,-0.0053726783,-0.0149836741,0.0281287587,0.8945312500,exact_sign_flip,21.0000000000,0.5566406250
polite_minus_direct,direct,polite,both_refusal,mean_top1_top2_probability_margin,10,0.8451071504,0.8450036540,-0.0001034963,0.0031682593,-0.0133979555,0.0107560374,0.9902343750,exact_sign_flip,18.0000000000,0.3750000000
polite_minus_direct,direct,polite,both_unsafe,mean_token_logprob,0,,,,,,,,,,
polite_minus_direct,direct,polite,both_unsafe,geometric_mean_token_probability,0,,,,,,,,,,
polite_minus_direct,direct,polite,both_unsafe,perplexity,0,,,,,,,,,,
polite_minus_direct,direct,polite,both_unsafe,mean_first_8_token_logprob,0,,,,,,,,,,
polite_minus_direct,direct,polite,both_unsafe,mean_first_16_token_logprob,0,,,,,,,,,,
polite_minus_direct,direct,polite,both_unsafe,mean_first_32_token_logprob,0,,,,,,,,,,
polite_minus_direct,direct,polite,both_unsafe,mean_token_entropy,0,,,,,,,,,,
polite_minus_direct,direct,polite,both_unsafe,mean_top1_top2_probability_margin,0,,,,,,,,,,
polite_minus_direct,direct,polite,either_length,mean_token_logprob,0,,,,,,,,,,
polite_minus_direct,direct,polite,either_length,geometric_mean_token_probability,0,,,,,,,,,,
polite_minus_direct,direct,polite,either_length,perplexity,0,,,,,,,,,,
polite_minus_direct,direct,polite,either_length,mean_first_8_token_logprob,0,,,,,,,,,,
polite_minus_direct,direct,polite,either_length,mean_first_16_token_logprob,0,,,,,,,,,,
polite_minus_direct,direct,polite,either_length,mean_first_32_token_logprob,0,,,,,,,,,,
polite_minus_direct,direct,polite,either_length,mean_token_entropy,0,,,,,,,,,,
polite_minus_direct,direct,polite,either_length,mean_top1_top2_probability_margin,0,,,,,,,,,,
polite_minus_direct,direct,polite,both_non_length,mean_token_logprob,20,-0.1624892944,-0.1597791788,0.0027101156,0.0037891210,-0.0070347839,0.0118846530,0.5955680886,monte_carlo_sign_flip,73.0000000000,0.2454872131
polite_minus_direct,direct,polite,both_non_length,geometric_mean_token_probability,20,0.8527127619,0.8547096273,0.0019968654,0.0032826224,-0.0056462310,0.0091097159,0.6124677506,monte_carlo_sign_flip,74.0000000000,0.2610988617
polite_minus_direct,direct,polite,both_non_length,perplexity,20,1.1806276551,1.1768333692,-0.0037942860,-0.0043737790,-0.0160985623,0.0084672622,0.5724285514,monte_carlo_sign_flip,73.0000000000,0.2454872131
polite_minus_direct,direct,polite,both_non_length,mean_first_8_token_logprob,20,-0.1429454810,-0.1448091115,-0.0018636305,-0.0022888193,-0.0285559366,0.0297886710,0.9174616508,monte_carlo_sign_flip,101.0000000000,0.8983173370
polite_minus_direct,direct,polite,both_non_length,mean_first_16_token_logprob,20,-0.1293557618,-0.1434842362,-0.0141284744,-0.0029175079,-0.0392008145,0.0070522986,0.2848143037,monte_carlo_sign_flip,71.0000000000,0.2161674500
polite_minus_direct,direct,polite,both_non_length,mean_first_32_token_logprob,20,-0.1444321425,-0.1523486085,-0.0079164660,-0.0038569627,-0.0265387003,0.0068461756,0.4364912702,monte_carlo_sign_flip,80.0000000000,0.3682765961
polite_minus_direct,direct,polite,both_non_length,mean_token_entropy,20,0.3456221037,0.3422667649,-0.0033553387,-0.0071530146,-0.0206619805,0.0152610623,0.7254654907,monte_carlo_sign_flip,79.0000000000,0.3488101959
polite_minus_direct,direct,polite,both_non_length,mean_top1_top2_probability_margin,20,0.7994897691,0.8031107006,0.0036209315,0.0064907162,-0.0061411442,0.0126369812,0.4724305514,monte_carlo_sign_flip,66.0000000000,0.1536464691
multi_turn_minus_direct,direct,multi_turn,all,mean_token_logprob,20,-0.1624892944,-0.1815948640,-0.0191055696,-0.0223508648,-0.0463120451,0.0075292959,0.1932161357,monte_carlo_sign_flip,76.0000000000,0.2942523956
multi_turn_minus_direct,direct,multi_turn,all,geometric_mean_token_probability,20,0.8527127619,0.8361979894,-0.0165147725,-0.0199130096,-0.0392864309,0.0057458271,0.1786364273,monte_carlo_sign_flip,76.0000000000,0.2942523956
multi_turn_minus_direct,direct,multi_turn,all,perplexity,20,1.1806276551,1.2025197007,0.0218920456,0.0250905520,-0.0104898533,0.0542797465,0.2175356493,monte_carlo_sign_flip,76.0000000000,0.2942523956
