subset,comparison,left_condition,right_condition,metric,n_pairs,mean_difference,ci_low,ci_high,permutation_p_value,wilcoxon_p_value
harmful,multi_turn_minus_direct,direct,multi_turn,geometric_mean_token_probability,10,-0.2568359320,-0.3056372707,-0.2071671974,0.0019531250,0.0019531250
harmful,multi_turn_minus_direct,direct,multi_turn,perplexity,10,0.4769949862,0.3587839122,0.5991907217,0.0019531250,0.0019531250
harmful,multi_turn_minus_direct,direct,multi_turn,mean_first_8_token_logprob,10,-1.1589594795,-1.8237850024,-0.5275430467,0.0058593750,0.0058593750
harmful,multi_turn_minus_direct,direct,multi_turn,mean_first_16_token_logprob,10,-1.2181366282,-1.7327583167,-0.6796001269,0.0039062500,0.0039062500
harmful,multi_turn_minus_direct,direct,multi_turn,mean_first_32_token_logprob,10,-1.0449254538,-1.2869480003,-0.7931804184,0.0019531250,0.0019531250
harmful,multi_turn_minus_direct,direct,multi_turn,mean_token_entropy,10,0.0604309459,0.0343604538,0.0869694608,0.0039062500,0.0039062500
harmful,multi_turn_minus_direct,direct,multi_turn,mean_top1_top2_probability_margin,10,-0.0248033207,-0.0404505967,-0.0076714910,0.0292968750,0.0371093750
harmful,multi_turn_minus_direct,direct,multi_turn,continuation_token_count,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
harmful,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_token_logprob,10,0.0090922261,-0.0215330064,0.0405944597,0.5742187500,0.7695312500
harmful,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,geometric_mean_token_probability,10,0.0038366116,-0.0154702341,0.0225599177,0.7441406250,0.9218750000
harmful,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,perplexity,10,-0.0193411659,-0.0711945923,0.0294901747,0.5253906250,0.7695312500
harmful,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_first_8_token_logprob,10,0.0848964914,-0.0330232505,0.2542813412,0.4082031250,0.6250000000
harmful,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_first_16_token_logprob,10,-0.0392829570,-0.1418323286,0.0512164157,0.5097656250,0.3222656250
harmful,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_first_32_token_logprob,10,0.0295743844,-0.0547739966,0.1137171656,0.5273437500,0.6250000000
harmful,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_token_entropy,10,-0.0066252544,-0.0156708836,0.0017663397,0.1992187500,0.1601562500
harmful,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_top1_top2_probability_margin,10,0.0012634202,-0.0029479641,0.0058416441,0.6093750000,0.8457031250
harmful,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,continuation_token_count,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
benign,polite_minus_direct,direct,polite,mean_token_logprob,10,-0.0045344820,-0.0079630617,-0.0018326263,0.0019531250,0.0019531250
benign,polite_minus_direct,direct,polite,geometric_mean_token_probability,10,-0.0038076504,-0.0067718684,-0.0014636451,0.0019531250,0.0019531250
benign,polite_minus_direct,direct,polite,perplexity,10,0.0054181265,0.0022397164,0.0094296399,0.0019531250,0.0019531250
benign,polite_minus_direct,direct,polite,mean_first_8_token_logprob,10,-0.0434816852,-0.0890209417,-0.0039031229,0.1250000000,0.3750000000
benign,polite_minus_direct,direct,polite,mean_first_16_token_logprob,10,-0.0255581507,-0.0481915527,-0.0045200497,0.0878906250,0.1054687500
benign,polite_minus_direct,direct,polite,mean_first_32_token_logprob,10,-0.0194472616,-0.0303020646,-0.0092347275,0.0039062500,0.0039062500
benign,polite_minus_direct,direct,polite,mean_token_entropy,10,-0.0016449279,-0.0037341141,0.0004177241,0.1738281250,0.1933593750
benign,polite_minus_direct,direct,polite,mean_top1_top2_probability_margin,10,0.0002800732,-0.0014480818,0.0020506341,0.7890625000,1.0000000000
benign,polite_minus_direct,direct,polite,continuation_token_count,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
benign,multi_turn_minus_direct,direct,multi_turn,mean_token_logprob,10,-0.3144372413,-0.4036766253,-0.2352467734,0.0019531250,0.0019531250
benign,multi_turn_minus_direct,direct,multi_turn,geometric_mean_token_probability,10,-0.2178015027,-0.2765779428,-0.1629623034,0.0019531250,0.0019531250
benign,multi_turn_minus_direct,direct,multi_turn,perplexity,10,0.4616433762,0.3398992072,0.6017574357,0.0019531250,0.0019531250
benign,multi_turn_minus_direct,direct,multi_turn,mean_first_8_token_logprob,10,-1.4671739237,-2.1414235942,-0.8654867280,0.0039062500,0.0039062500
benign,multi_turn_minus_direct,direct,multi_turn,mean_first_16_token_logprob,10,-1.1114354713,-1.6600908515,-0.6120912037,0.0039062500,0.0039062500
benign,multi_turn_minus_direct,direct,multi_turn,mean_first_32_token_logprob,10,-0.7541637282,-1.0367784113,-0.4852745943,0.0019531250,0.0019531250
benign,multi_turn_minus_direct,direct,multi_turn,mean_token_entropy,10,0.1008987185,0.0446635190,0.1618614894,0.0058593750,0.0058593750
benign,multi_turn_minus_direct,direct,multi_turn,mean_top1_top2_probability_margin,10,-0.0415533870,-0.0705557271,-0.0167767987,0.0078125000,0.0097656250
benign,multi_turn_minus_direct,direct,multi_turn,continuation_token_count,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
benign,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_token_logprob,10,-0.0124378739,-0.0260744350,0.0005540026,0.1210937500,0.2324218750
benign,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,geometric_mean_token_probability,10,-0.0078353411,-0.0162596246,0.0003262920,0.1191406250,0.2324218750
benign,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,perplexity,10,0.0200319885,-0.0011304365,0.0420758458,0.1230468750,0.2324218750
benign,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_first_8_token_logprob,10,-0.2591262824,-0.5308300277,-0.0291713333,0.0878906250,0.1933593750
benign,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_first_16_token_logprob,10,-0.1488248709,-0.2892478187,-0.0296862236,0.0410156250,0.0644531250
benign,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_first_32_token_logprob,10,-0.1149033110,-0.1965563426,-0.0421676616,0.0078125000,0.0097656250
benign,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_token_entropy,10,0.0041733956,-0.0101598522,0.0204563220,0.6445312500,0.9218750000
benign,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_top1_top2_probability_margin,10,0.0000330353,-0.0069016036,0.0067844558,0.9863281250,0.9218750000
benign,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,continuation_token_count,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
