subset,condition,metric,n,mean,median,ci_low,ci_high
harmful,multi_turn,mean_token_entropy,10,0.3656157086,0.3354305054,0.2917549615,0.4492656536
harmful,multi_turn,mean_top1_top2_probability_margin,10,0.7917646917,0.7918466288,0.7626208566,0.8208352862
harmful,polite_multi_turn,mean_token_logprob,10,-0.1687059364,-0.1375446494,-0.2220073718,-0.1279302033
harmful,polite_multi_turn,geometric_mean_token_probability,10,0.8472318136,0.8715042289,0.8053193465,0.8800825248
harmful,polite_multi_turn,perplexity,10,1.1875575132,1.1474645134,1.1367246634,1.2592696541
harmful,polite_multi_turn,mean_first_8_token_logprob,10,-0.1337574471,-0.1205694693,-0.1801255786,-0.0972924933
harmful,polite_multi_turn,mean_first_16_token_logprob,10,-0.1317058860,-0.1047119154,-0.1827954356,-0.0965217343
harmful,polite_multi_turn,mean_first_32_token_logprob,10,-0.1487719779,-0.1252896711,-0.1948489282,-0.1095504733
harmful,polite_multi_turn,mean_token_entropy,10,0.3610183138,0.2931151765,0.2721714390,0.4823878227
harmful,polite_multi_turn,mean_top1_top2_probability_margin,10,0.7939082301,0.8234191122,0.7490448056,0.8283686562
benign,direct,mean_token_logprob,10,-0.2116398436,-0.1960275825,-0.2750604315,-0.1654878067
benign,direct,geometric_mean_token_probability,10,0.8123728964,0.8219950860,0.7664146894,0.8474382297
benign,direct,perplexity,10,1.2409864928,1.2165686366,1.1806469207,1.3250759289
benign,direct,mean_first_8_token_logprob,10,-0.1978677112,-0.1271295050,-0.2972828383,-0.1114196691
benign,direct,mean_first_16_token_logprob,10,-0.1740761729,-0.1013785107,-0.2737543018,-0.0915904017
benign,direct,mean_first_32_token_logprob,10,-0.1850377718,-0.1264981571,-0.2736203400,-0.1171396804
benign,direct,mean_token_entropy,10,0.4509286750,0.3953796133,0.3432142420,0.5984468466
benign,direct,mean_top1_top2_probability_margin,10,0.7538723877,0.7594614240,0.7072246401,0.7917495194
benign,polite,mean_token_logprob,10,-0.2051291128,-0.1769780849,-0.2628067981,-0.1614156123
benign,polite,geometric_mean_token_probability,10,0.8171743511,0.8378012727,0.7746184990,0.8517800161
benign,polite,perplexity,10,1.2319685881,1.1936093912,1.1756210630,1.3044699156
benign,polite,mean_first_8_token_logprob,10,-0.1870021033,-0.1311845952,-0.2823524783,-0.1068530264
benign,polite,mean_first_16_token_logprob,10,-0.1824104289,-0.1150690113,-0.2860558342,-0.1052366705
benign,polite,mean_first_32_token_logprob,10,-0.1919842205,-0.1489523503,-0.2825002430,-0.1254678549
benign,polite,mean_token_entropy,10,0.4409898281,0.3849863544,0.3379241751,0.5746450289
benign,polite,mean_top1_top2_probability_margin,10,0.7612177472,0.7716199685,0.7154385787,0.7985579834
benign,multi_turn,mean_token_logprob,10,-0.1928653983,-0.2073560690,-0.2512552968,-0.1412690513
benign,multi_turn,geometric_mean_token_probability,10,0.8277681942,0.8127646521,0.7819479898,0.8701427507
benign,multi_turn,perplexity,10,1.2175531080,1.2304727509,1.1543128766,1.2896327936
benign,multi_turn,mean_first_8_token_logprob,10,-0.1393278270,-0.1052596378,-0.2619604983,-0.0566625468
benign,multi_turn,mean_first_16_token_logprob,10,-0.1456152590,-0.0965311791,-0.2299468780,-0.0809534185
benign,multi_turn,mean_first_32_token_logprob,10,-0.1933996160,-0.1926679950,-0.2620747670,-0.1284364130
benign,multi_turn,mean_token_entropy,10,0.4267743500,0.4634203592,0.3119938033,0.5507478212
benign,multi_turn,mean_top1_top2_probability_margin,10,0.7803743004,0.7610618140,0.7275679143,0.8322780540
benign,polite_multi_turn,mean_token_logprob,10,-0.2076595158,-0.1956652873,-0.2662441551,-0.1538916681
benign,polite_multi_turn,geometric_mean_token_probability,10,0.8158452731,0.8224515722,0.7699015460,0.8584114355
benign,polite_multi_turn,perplexity,10,1.2361525574,1.2163625610,1.1699529276,1.3139185793
benign,polite_multi_turn,mean_first_8_token_logprob,10,-0.1786285806,-0.1225758645,-0.3286735179,-0.0769084817
benign,polite_multi_turn,mean_first_16_token_logprob,10,-0.1851879040,-0.1027519757,-0.3319649668,-0.0879857882
benign,polite_multi_turn,mean_first_32_token_logprob,10,-0.2303743267,-0.1906840976,-0.3436933857,-0.1396259978
benign,polite_multi_turn,mean_token_entropy,10,0.4594426177,0.4167351044,0.3459930456,0.5921564364
benign,polite_multi_turn,mean_top1_top2_probability_margin,10,0.7641995990,0.7605707903,0.7111395649,0.8117192506
harmful_refusal,direct,mean_token_logprob,10,-0.1133387452,-0.1098960603,-0.1271717670,-0.1004944379
harmful_refusal,direct,geometric_mean_token_probability,10,0.8930526275,0.8959352593,0.8810491693,0.9045317090
harmful_refusal,direct,perplexity,10,1.1202688175,1.1161720255,1.1058484249,1.1354461908
harmful_refusal,direct,mean_first_8_token_logprob,10,-0.0880232507,-0.0824547707,-0.1183454408,-0.0588239606
harmful_refusal,direct,mean_first_16_token_logprob,10,-0.0846353506,-0.0763877443,-0.1035392609,-0.0684103265
harmful_refusal,direct,mean_first_32_token_logprob,10,-0.1038265132,-0.1015586196,-0.1283858672,-0.0806574619
harmful_refusal,direct,mean_token_entropy,10,0.2403155324,0.2208160310,0.2128677145,0.2700009605
harmful_refusal,direct,mean_top1_top2_probability_margin,10,0.8451071504,0.8444054791,0.8292673658,0.8609031336
harmful_refusal,polite,mean_token_logprob,10,-0.1144292448,-0.1152012859,-0.1322853431,-0.0967845010
harmful_refusal,polite,geometric_mean_token_probability,10,0.8922449035,0.8912442254,0.8764362195,0.9081262932
harmful_refusal,polite,perplexity,10,1.1216981502,1.1221716548,1.1024242975,1.1421505198
harmful_refusal,polite,mean_first_8_token_logprob,10,-0.1026161196,-0.0880819929,-0.1415019788,-0.0649887025
harmful_refusal,polite,mean_first_16_token_logprob,10,-0.1045580434,-0.0811238882,-0.1398761258,-0.0750041850
harmful_refusal,polite,mean_first_32_token_logprob,10,-0.1127129964,-0.1060791458,-0.1402326832,-0.0870497035
harmful_refusal,polite,mean_token_entropy,10,0.2435437018,0.2418990900,0.2107382745,0.2761063719
harmful_refusal,polite,mean_top1_top2_probability_margin,10,0.8450036540,0.8438982558,0.8257193495,0.8648456686
harmful_refusal,multi_turn,mean_token_logprob,8,-0.1483638358,-0.1494857581,-0.1703251277,-0.1271211543
harmful_refusal,multi_turn,geometric_mean_token_probability,8,0.8625374210,0.8612247814,0.8440670006,0.8812986096
harmful_refusal,multi_turn,perplexity,8,1.1605004402,1.1613368259,1.1354270686,1.1854921258
harmful_refusal,multi_turn,mean_first_8_token_logprob,8,-0.1105361250,-0.0989547247,-0.1387454423,-0.0825557494
harmful_refusal,multi_turn,mean_first_16_token_logprob,8,-0.1080441884,-0.1069755344,-0.1364501892,-0.0799482224
harmful_refusal,multi_turn,mean_first_32_token_logprob,8,-0.1406643376,-0.1486443684,-0.1692381505,-0.1107232052
harmful_refusal,multi_turn,mean_token_entropy,8,0.3092048502,0.3030814654,0.2678590500,0.3544823273
harmful_refusal,multi_turn,mean_top1_top2_probability_margin,8,0.8081212011,0.8054941278,0.7834558324,0.8340976507
harmful_refusal,polite_multi_turn,mean_token_logprob,8,-0.1322049332,-0.1303405693,-0.1442259286,-0.1210796243
harmful_refusal,polite_multi_turn,geometric_mean_token_probability,8,0.8762858034,0.8777996584,0.8659557839,0.8860506180
harmful_refusal,polite_multi_turn,perplexity,8,1.1415051146,1.1392204899,1.1287447692,1.1557089646
harmful_refusal,polite_multi_turn,mean_first_8_token_logprob,8,-0.1182095227,-0.1205694693,-0.1421251838,-0.0941102063
harmful_refusal,polite_multi_turn,mean_first_16_token_logprob,8,-0.1139149323,-0.1047119154,-0.1335668512,-0.0949410481
harmful_refusal,polite_multi_turn,mean_first_32_token_logprob,8,-0.1307010924,-0.1162647500,-0.1636685398,-0.0993142815
harmful_refusal,polite_multi_turn,mean_token_entropy,8,0.2802778825,0.2849416359,0.2565322646,0.3057409958
harmful_refusal,polite_multi_turn,mean_top1_top2_probability_margin,8,0.8245459681,0.8268225984,0.8133474239,0.8344327677
harmful_unsafe,direct,mean_token_logprob,0,,,,
harmful_unsafe,direct,geometric_mean_token_probability,0,,,,
harmful_unsafe,direct,perplexity,0,,,,
harmful_unsafe,direct,mean_first_8_token_logprob,0,,,,
harmful_unsafe,direct,mean_first_16_token_logprob,0,,,,
harmful_unsafe,direct,mean_first_32_token_logprob,0,,,,
harmful_unsafe,direct,mean_token_entropy,0,,,,
harmful_unsafe,direct,mean_top1_top2_probability_margin,0,,,,
harmful_unsafe,polite,mean_token_logprob,0,,,,
harmful_unsafe,polite,geometric_mean_token_probability,0,,,,
harmful_unsafe,polite,perplexity,0,,,,
harmful_unsafe,polite,mean_first_8_token_logprob,0,,,,
harmful_unsafe,polite,mean_first_16_token_logprob,0,,,,
harmful_unsafe,polite,mean_first_32_token_logprob,0,,,,
harmful_unsafe,polite,mean_token_entropy,0,,,,
harmful_unsafe,polite,mean_top1_top2_probability_margin,0,,,,
harmful_unsafe,multi_turn,mean_token_logprob,2,,,,
harmful_unsafe,multi_turn,geometric_mean_token_probability,2,,,,
harmful_unsafe,multi_turn,perplexity,2,,,,
harmful_unsafe,multi_turn,mean_first_8_token_logprob,2,,,,
harmful_unsafe,multi_turn,mean_first_16_token_logprob,2,,,,
harmful_unsafe,multi_turn,mean_first_32_token_logprob,2,,,,
harmful_unsafe,multi_turn,mean_token_entropy,2,,,,
harmful_unsafe,multi_turn,mean_top1_top2_probability_margin,2,,,,
harmful_unsafe,polite_multi_turn,mean_token_logprob,2,,,,
harmful_unsafe,polite_multi_turn,geometric_mean_token_probability,2,,,,
harmful_unsafe,polite_multi_turn,perplexity,2,,,,
harmful_unsafe,polite_multi_turn,mean_first_8_token_logprob,2,,,,
harmful_unsafe,polite_multi_turn,mean_first_16_token_logprob,2,,,,
harmful_unsafe,polite_multi_turn,mean_first_32_token_logprob,2,,,,
harmful_unsafe,polite_multi_turn,mean_token_entropy,2,,,,
harmful_unsafe,polite_multi_turn,mean_top1_top2_probability_margin,2,,,,
finish_length,direct,mean_token_logprob,0,,,,
finish_length,direct,geometric_mean_token_probability,0,,,,
finish_length,direct,perplexity,0,,,,
finish_length,direct,mean_first_8_token_logprob,0,,,,
finish_length,direct,mean_first_16_token_logprob,0,,,,
finish_length,direct,mean_first_32_token_logprob,0,,,,
finish_length,direct,mean_token_entropy,0,,,,
finish_length,direct,mean_top1_top2_probability_margin,0,,,,
finish_length,polite,mean_token_logprob,0,,,,
finish_length,polite,geometric_mean_token_probability,0,,,,
finish_length,polite,perplexity,0,,,,
finish_length,polite,mean_first_8_token_logprob,0,,,,
finish_length,polite,mean_first_16_token_logprob,0,,,,
finish_length,polite,mean_first_32_token_logprob,0,,,,
finish_length,polite,mean_token_entropy,0,,,,
finish_length,polite,mean_top1_top2_probability_margin,0,,,,
finish_length,multi_turn,mean_token_logprob,0,,,,
finish_length,multi_turn,geometric_mean_token_probability,0,,,,
finish_length,multi_turn,perplexity,0,,,,
finish_length,multi_turn,mean_first_8_token_logprob,0,,,,
finish_length,multi_turn,mean_first_16_token_logprob,0,,,,
finish_length,multi_turn,mean_first_32_token_logprob,0,,,,
finish_length,multi_turn,mean_token_entropy,0,,,,
finish_length,multi_turn,mean_top1_top2_probability_margin,0,,,,
finish_length,polite_multi_turn,mean_token_logprob,0,,,,
finish_length,polite_multi_turn,geometric_mean_token_probability,0,,,,
finish_length,polite_multi_turn,perplexity,0,,,,
finish_length,polite_multi_turn,mean_first_8_token_logprob,0,,,,
finish_length,polite_multi_turn,mean_first_16_token_logprob,0,,,,
finish_length,polite_multi_turn,mean_first_32_token_logprob,0,,,,
finish_length,polite_multi_turn,mean_token_entropy,0,,,,
finish_length,polite_multi_turn,mean_top1_top2_probability_margin,0,,,,
finish_non_length,direct,mean_token_logprob,20,-0.1624892944,-0.1438585158,-0.2021392096,-0.1314737233
finish_non_length,direct,geometric_mean_token_probability,20,0.8527127619,0.8660102758,0.8217499701,0.8772462649
finish_non_length,direct,perplexity,20,1.1806276551,1.1547207351,1.1421072161,1.2323708140
finish_non_length,direct,mean_first_8_token_logprob,20,-0.1429454810,-0.1013761655,-0.2027538924,-0.0938230511
finish_non_length,direct,mean_first_16_token_logprob,20,-0.1293557618,-0.0833014304,-0.1879871491,-0.0852954640
finish_non_length,direct,mean_first_32_token_logprob,20,-0.1444321425,-0.1166981382,-0.1961443558,-0.1065007799
finish_non_length,direct,mean_token_entropy,20,0.3456221037,0.3009732974,0.2758653658,0.4395214681
finish_non_length,direct,mean_top1_top2_probability_margin,20,0.7994897691,0.8088059120,0.7668641797,0.8265010002
finish_non_length,polite,mean_token_logprob,20,-0.1597791788,-0.1414141919,-0.1952087586,-0.1297917428
finish_non_length,polite,geometric_mean_token_probability,20,0.8547096273,0.8681296811,0.8258289509,0.8795181656
finish_non_length,polite,perplexity,20,1.1768333692,1.1519016788,1.1396987065,1.2222205753
finish_non_length,polite,mean_first_8_token_logprob,20,-0.1448091115,-0.1188611690,-0.2027075389,-0.0993748785
finish_non_length,polite,mean_first_16_token_logprob,20,-0.1434842362,-0.0930372957,-0.2009205981,-0.0988934571
finish_non_length,polite,mean_first_32_token_logprob,20,-0.1523486085,-0.1186132750,-0.2045991858,-0.1142701585
finish_non_length,polite,mean_token_entropy,20,0.3422667649,0.2923404333,0.2759752793,0.4233348037
finish_non_length,polite,mean_top1_top2_probability_margin,20,0.8031107006,0.8172525246,0.7717107705,0.8299841039
finish_non_length,multi_turn,mean_token_logprob,20,-0.1815948640,-0.1720147047,-0.2155085075,-0.1506118838
finish_non_length,multi_turn,geometric_mean_token_probability,20,0.8361979894,0.8419811971,0.8086088438,0.8618733929
finish_non_length,multi_turn,perplexity,20,1.2025197007,1.1877156177,1.1641251602,1.2461073583
finish_non_length,multi_turn,mean_first_8_token_logprob,20,-0.1345569766,-0.1145155605,-0.1981065080,-0.0878134576
finish_non_length,multi_turn,mean_first_16_token_logprob,20,-0.1409990617,-0.1069755344,-0.1916539304,-0.0991830721
finish_non_length,multi_turn,mean_first_32_token_logprob,20,-0.1812865468,-0.1614194795,-0.2250089825,-0.1408891003
finish_non_length,multi_turn,mean_token_entropy,20,0.3961950293,0.3545510178,0.3248483403,0.4751979945
finish_non_length,multi_turn,mean_top1_top2_probability_margin,20,0.7860694961,0.7802978960,0.7559087130,0.8152709828
finish_non_length,polite_multi_turn,mean_token_logprob,20,-0.1881827261,-0.1509197998,-0.2293732023,-0.1525543852
finish_non_length,polite_multi_turn,geometric_mean_token_probability,20,0.8315385433,0.8599251952,0.7994440477,0.8601135728
finish_non_length,polite_multi_turn,perplexity,20,1.2118550353,1.1629149300,1.1668014622,1.2654493682
finish_non_length,polite_multi_turn,mean_first_8_token_logprob,20,-0.1561930139,-0.1205694693,-0.2380223909,-0.1006330113
finish_non_length,polite_multi_turn,mean_first_16_token_logprob,20,-0.1584468950,-0.1047119154,-0.2388061384,-0.1035870246
finish_non_length,polite_multi_turn,mean_first_32_token_logprob,20,-0.1895731523,-0.1560132711,-0.2541107038,-0.1376343037
finish_non_length,polite_multi_turn,mean_token_entropy,20,0.4102304657,0.3263635216,0.3320139202,0.4976883244
finish_non_length,polite_multi_turn,mean_top1_top2_probability_margin,20,0.7790539145,0.8111469719,0.7448634296,0.8101613474
